t,x,y,z,w
1735187280.471372,1.656324042183795e-08,-4.869457306527126e-08,-2.4197020290148944e-08,0.9999999999999984
1735187280.482255,1.342081474343888e-08,-3.9045618321578595e-08,-1.8119967391002428e-08,0.9999999999999991
1735187280.493236,1.2455471627226406e-08,-3.646078617696065e-08,-2.5030280748485938e-08,0.9999999999999989
1735187280.504312,1.5427632718421214e-08,5.042827306852362e-08,-1.2429963238794102e-08,0.9999999999999986
1735187280.515723,8.206397679360228e-09,-2.1581354091864578e-08,-1.6316774368322557e-08,0.9999999999999996
1735187280.5268068,1.0126095659457173e-08,1.7081224371091826e-08,-1.122448709183653e-08,0.9999999999999998
1735187280.537976,1.795740776936111e-08,-1.1635154534527314e-08,-1.3521013202815193e-08,0.9999999999999997
1735187280.548792,1.127974825758867e-08,7.525406538643293e-09,-7.943090607439076e-09,0.9999999999999999
1735187280.559935,-6.459372321890577e-09,-4.9512483242687194e-08,-7.158186222372785e-09,0.9999999999999988
1735187280.571239,-2.1170516249999967e-08,-5.157006749999992e-08,1.4982012499999977e-08,0.9999999999999984
1735187280.582528,-1.5965264302605157e-08,-4.6618266503629955e-08,1.1677718624171086e-08,0.9999999999999987
1735187280.593274,-5.5952111892816775e-09,1.0186701528005233e-10,1.3530505529575826e-08,0.9999999999999999
1735187280.604346,-8.191172545220686e-09,-2.2595123335121914e-10,7.409958064751048e-09,1.0
1735187280.6159,1.5109392633204445e-08,3.773971360547851e-10,-1.1558160866862063e-08,0.9999999999999998
1735187280.626648,1.6727425163628698e-08,6.845220157738975e-08,7.652102117394871e-11,0.9999999999999976
1735187280.6377091,1.986712400664376e-08,5.589362470531866e-08,1.0154958742252044e-08,0.9999999999999982
1735187280.6488929,4.769908810044047e-08,9.14599859448986e-08,2.183173216906247e-09,0.9999999999999947
1735187280.660219,2.455022002248887e-08,9.716916014154148e-08,8.577313446134283e-09,0.9999999999999949
1735187280.671052,6.615584314623371e-09,1.7737993959519757e-08,-4.131298090251923e-09,0.9999999999999998
1735187280.682368,-1.8850743663805753e-08,-4.3934512545088385e-08,-1.2777750958331285e-10,0.9999999999999989
1735187280.693326,-1.6415161339620848e-08,-1.1770925705726773e-07,-6.519956737001034e-09,0.9999999999999929
1735187280.70436,-1.602288807331867e-08,-1.0804372566633954e-07,-2.4475628798966025e-08,0.9999999999999938
1735187280.715816,-1.7015767749999725e-08,-1.7450260499999718e-07,-4.012908349999935e-08,0.9999999999999838
1735187280.726716,-9.997166349617375e-09,-1.248263318515538e-07,-2.541044018040922e-08,0.9999999999999919
1735187280.737714,6.845028105628512e-09,2.2531005816375718e-08,-7.993624999203122e-09,0.9999999999999997
1735187280.748901,1.5025124002512386e-08,-3.513690001368997e-08,-1.5612700811270067e-08,0.9999999999999992
1735187280.75998,7.1072330330424536e-09,-7.363026552226966e-08,-3.299667647475062e-08,0.9999999999999967
1735187280.7709951,1.3949884584248159e-08,-1.1533805673006995e-07,-4.624964844374436e-08,0.9999999999999922
1735187280.78238,6.8031203299219865e-09,3.4881073127973146e-08,-1.4751903381202403e-09,0.9999999999999993
1735187280.793422,-4.648255734171508e-13,-9.718517937333301e-13,2.7177503722987666e-10,1.0
1735187280.804386,9.581911270904391e-09,9.12683529365819e-08,2.7423337878832975e-08,0.9999999999999953
1735187280.8155189,1.6345635908640746e-08,1.3386853584671216e-07,1.295923432398074e-08,0.9999999999999908
1735187280.826616,6.8716026966541365e-09,1.0153478909976071e-07,2.843754584844032e-08,0.9999999999999944
1735187280.837662,-5.517168520676147e-10,9.645993534508757e-08,2.0856666858483267e-08,0.9999999999999951
1735187280.849011,1.7227204957959503e-08,1.1904418607168517e-07,1.2317756576168167e-08,0.9999999999999927
1735187280.8602328,5.08014438221299e-09,3.837716345394468e-08,-4.474578977712104e-09,0.9999999999999992
1735187280.8711882,2.8809153652366097e-08,4.66097846143913e-08,-2.0207068808282717e-08,0.9999999999999983
1735187280.882409,5.0704460035222836e-08,4.963608373180402e-08,-3.8540555927027666e-08,0.9999999999999968
1735187280.893547,3.198694850163135e-08,6.608132673983398e-08,-2.356512280435958e-08,0.9999999999999971
1735187280.904515,8.731171599246829e-10,-8.505819090232729e-08,-2.834486263379439e-08,0.999999999999996
1735187280.915738,-5.5372438921554775e-09,-5.7053252131656424e-08,1.87918138489767e-09,0.9999999999999983
1735187280.926716,-7.513474749999984e-09,-6.694645649999985e-08,-1.1595127999999974e-08,0.9999999999999978
1735187280.9379668,-3.821695199033818e-09,-1.272564500044762e-08,-6.171114552943496e-09,0.9999999999999998
1735187280.949118,4.0267872595538205e-09,-7.974449355656364e-08,-1.6687845836933738e-08,0.9999999999999967
