t,x,y,z
1735187283.282156,-0.02319361,-2.0825188e-05,-0.00047170356
1735187283.293231,-0.02318713,-2.1195097e-05,-0.00047150877
1735187283.304333,-0.023195924,-1.8146005e-05,-0.0004719456
1735187283.315495,-0.0232189,-1.4341727e-05,-0.00047199577
1735187283.3264542,-0.023213396,-1.2834265e-05,-0.00047313294
1735187283.337894,-0.023200955,-1.2306147e-05,-0.0004741135
1735187283.348822,-0.023182476,-1.3344397e-05,-0.00047464366
1735187283.3598762,-0.02318367,-1.27065e-05,-0.0004747155
1735187283.370964,-0.02319152,-1.1850554e-05,-0.00047453842
1735187283.382492,-0.023205379,-1.0202693e-05,-0.00047421124
1735187283.393259,-0.023201765,-1.0291638e-05,-0.00047526055
1735187283.404255,-0.023177972,-1.20253535e-05,-0.0004790004
1735187283.415492,-0.023168871,-1.3685082e-05,-0.000481396
1735187283.426559,-0.023159774,-1.5954613e-05,-0.0004842619
1735187283.438233,-0.023150673,-1.88839e-05,-0.0004875606
1735187283.448784,-0.023129687,-2.0290841e-05,-0.0004907343
1735187283.459877,-0.023103368,-2.169417e-05,-0.0004947011
1735187283.470876,-0.023072053,-2.0164462e-05,-0.0004978307
1735187283.482071,-0.023058388,-2.2923796e-05,-0.0005021499
1735187283.49313,-0.023050997,-2.5560788e-05,-0.0005065958
1735187283.504242,-0.023049569,-2.6275795e-05,-0.000508259
1735187283.515484,-0.023035211,-3.0550455e-05,-0.00051217887
1735187283.526526,-0.023017801,-3.5102414e-05,-0.0005151261
1735187283.537653,-0.022997282,-3.9766717e-05,-0.0005174413
1735187283.54875,-0.023001298,-3.976561e-05,-0.00051880494
1735187283.5601568,-0.023014864,-3.8449012e-05,-0.00051929895
1735187283.5710669,-0.02303904,-3.505213e-05,-0.00051941804
1735187283.582057,-0.023048632,-3.4865458e-05,-0.0005224572
1735187283.593149,-0.023057237,-3.7545222e-05,-0.00052300113
1735187283.604208,-0.023063965,-4.013657e-05,-0.0005243605
1735187283.615495,-0.023065718,-4.101364e-05,-0.0005250291
1735187283.626827,-0.023064163,-4.094164e-05,-0.0005258048
1735187283.637967,-0.023059102,-3.9924635e-05,-0.0005266666
1735187283.648714,-0.023070341,-3.9583014e-05,-0.0005280905
1735187283.659802,-0.02308752,-3.9202107e-05,-0.0005275947
1735187283.671306,-0.023110636,-3.8659262e-05,-0.0005254792
1735187283.682268,-0.023116069,-3.766897e-05,-0.0005258023
1735187283.6931272,-0.023115525,-3.6648184e-05,-0.0005262655
1735187283.704258,-0.02310947,-3.6213896e-05,-0.0005254057
1735187283.715724,-0.023112169,-3.691123e-05,-0.0005266687
1735187283.7264872,-0.023116333,-3.8594826e-05,-0.00052798644
1735187283.737582,-0.02312213,-4.1413994e-05,-0.0005295721
1735187283.748762,-0.023105515,-4.5639114e-05,-0.00052839017
1735187283.75997,-0.023079352,-4.987023e-05,-0.0005275073
1735187283.771292,-0.023044163,-5.6049437e-05,-0.00052640116
1735187283.782411,-0.023032483,-5.704083e-05,-0.0005271933
1735187283.793316,-0.023027789,-5.667593e-05,-0.00052906637
1735187283.8044071,-0.023030007,-5.4888078e-05,-0.00053186953
1735187283.815412,-0.02301157,-5.8546662e-05,-0.00053121604
1735187283.82648,-0.022987533,-6.308581e-05,-0.00053108204
1735187283.8375568,-0.022957262,-6.914034e-05,-0.0005302934
1735187283.849102,-0.022959482,-7.005688e-05,-0.00052998814
1735187283.860246,-0.022972839,-6.959838e-05,-0.0005311454
1735187283.871248,-0.022998443,-6.7562214e-05,-0.0005326105
1735187283.882451,-0.022998853,-6.676756e-05,-0.0005321908
1735187283.89363,-0.022994373,-6.601645e-05,-0.00053285225
1735187283.904526,-0.022984084,-6.505882e-05,-0.0005329756
1735187283.915941,-0.022955397,-6.5854816e-05,-0.0005321934
1735187283.927055,-0.022915114,-6.7202505e-05,-0.0005319323
1735187283.9380689,-0.022863057,-6.910518e-05,-0.00053139863
1735187283.949284,-0.02284953,-6.9496105e-05,-0.0005309286
1735187283.9602618,-0.02284697,-6.949396e-05,-0.0005307724
1735187283.971489,-0.022856804,-6.904879e-05,-0.0005307183
1735187283.982767,-0.022849197,-7.046119e-05,-0.00053040957
1735187283.993507,-0.022840494,-7.2563365e-05,-0.00053002307
1735187284.0044951,-0.022829937,-7.5182645e-05,-0.00052967155
1735187284.015564,-0.022811279,-7.5577176e-05,-0.0005299168
1735187284.026854,-0.022787848,-7.552467e-05,-0.0005297867
1735187284.038121,-0.022759432,-7.478357e-05,-0.0005298016
1735187284.048866,-0.022744793,-7.813331e-05,-0.00052905345
1735187284.060529,-0.022733452,-8.211122e-05,-0.00052794523
1735187284.071511,-0.022725975,-8.7663764e-05,-0.00052644545
1735187284.082561,-0.022729034,-8.526014e-05,-0.000524493
1735187284.0934,-0.02273887,-8.028101e-05,-0.0005263876
1735187284.1048331,-0.022755884,-7.225748e-05,-0.00052918686
1735187284.115947,-0.022770636,-7.129123e-05,-0.00052949897
1735187284.1267529,-0.022788184,-7.276342e-05,-0.0005294235
1735187284.1378012,-0.022808354,-7.6334174e-05,-0.00052876933
1735187284.14937,-0.02283368,-7.648731e-05,-0.0005302984
1735187284.1600208,-0.022862809,-7.575886e-05,-0.0005305416
1735187284.171023,-0.022895815,-7.436478e-05,-0.0005310397
1735187284.182258,-0.022902729,-7.461803e-05,-0.0005318576
1735187284.193366,-0.02290007,-7.415307e-05,-0.0005331173
1735187284.204434,-0.022887085,-7.3967734e-05,-0.0005346102
1735187284.215755,-0.022897948,-7.51873e-05,-0.00053555187
1735187284.226636,-0.022913694,-7.614354e-05,-0.0005367951
1735187284.2377,-0.022935491,-7.7698445e-05,-0.0005379727
1735187284.248966,-0.022923486,-7.680361e-05,-0.00053824025
1735187284.260133,-0.022899726,-7.5381366e-05,-0.00053891784
