id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd,error_x,error_y,error_z,affine_matrix
24,520,52050,20500,5005,[25 60 10],[55 10 15],[ 70  40 -35],[ 60  10 -95],8.881784197001252e-14,2.398081733190338e-14,0.0,"[[1.0, 5.336933335808507e-16, 1.3538584537473903e-16, 8.328814143993734e-14], [-5.336933335808508e-16, 0.9999999999999997, -4.203014115123145e-16, 4.078585568330191e-14], [-1.3538584537473923e-16, 1.6653345369377348e-16, 1.0, 9.969231322720346e-16], [0.0, 0.0, 0.0, 1.0]]"
25,525,52510,25100,1005,[ 30  25 -40],[ 15  15 -35],[ 35   0 -45],[ 25 -40 -15],-4.579447931973846e-12,1.6431300764452317e-13,-2.561506562415161e-12,"[[0.9999999999999999, -2.079877757025181e-14, -2.434625259359654e-14, -4.101274888503572e-12], [2.0761274329729194e-14, 1.0000000000000002, 8.625790839915211e-15, -4.2124844636048413e-13], [2.4313884239290928e-14, -8.965050923848139e-15, 1.0000000000000002, -3.053090789174082e-12], [0.0, 0.0, 0.0, 1.0]]"
26,525,52515,25150,1505,[30 16 15],[  6  65 -30],[26 41  5],[16  1 25],4.618527782440651e-14,-2.560174294785611e-13,1.7053025658242404e-13,"[[1.0000000000000004, 1.8929742510996636e-14, -6.865574079030778e-15, 1.2406560740953577e-13], [-1.911220681886168e-14, 0.9999999999999998, 1.0139970344460802e-14, -4.175575559782641e-14], [6.6682770416548465e-15, -1.0116907311896739e-14, 1.0, 4.881433481692544e-14], [0.0, 0.0, 0.0, 1.0]]"
27,525,52520,25200,2005,[ 30  35 -30],[ 25  15 -25],[ 45  10 -45],[ 35 -30 -35],-9.592326932761353e-14,-1.0658141036401503e-13,-5.3290705182007514e-14,"[[1.0000000000000002, -2.6964776841998588e-15, -1.1516555470534176e-15, -7.463496045924112e-14], [2.7678032247835957e-15, 1.0000000000000002, 4.625004915415884e-16, -1.7267721249818909e-13], [1.3322676295501878e-15, -3.885780586188048e-16, 1.0, -7.987344376408667e-14], [0.0, 0.0, 0.0, 1.0]]"
28,525,52530,25300,3005,[ 30  45 -20],[ 35  15 -15],[ 55  20 -45],[ 45 -20 -55],1.0302869668521453e-13,2.9531932455029164e-14,0.0,"[[1.0, 8.736267926117986e-16, 1.162607169926781e-16, 9.682714679811816e-14], [-8.736267926117987e-16, 0.9999999999999999, -1.2168072119588553e-16, 4.98585422339567e-14], [-1.1626071699267816e-16, 0.0, 1.0, 5.115786900035597e-15], [0.0, 0.0, 0.0, 1.0]]"
29,525,52535,25350,3505,[30 18 35],[  8  65 -10],[28 43  5],[ 18   3 -15],1.7763568394002505e-14,-6.039613253960852e-14,4.973799150320701e-14,"[[1.0, 3.279745978339391e-16, -6.113258843963453e-16, 2.807926623106435e-14], [-3.279745978339409e-16, 1.0000000000000004, -3.393940453545104e-15, 6.433929175632806e-15], [6.113258843963442e-16, 3.219646771412954e-15, 1.0, 2.888710536461832e-14], [0.0, 0.0, 0.0, 1.0]]"
30,525,52540,25400,4005,[ 30  55 -10],[45 15 -5],[ 65  30 -45],[ 55 -10 -75],4.263256414560601e-14,9.992007221626409e-15,2.842170943040401e-14,"[[1.0, -1.2301502526028908e-16, 9.437516739895678e-17, 4.3334928217221925e-14], [1.230150252602891e-16, 0.9999999999999998, -1.7904945251103192e-16, 1.1076360308693076e-14], [-9.437516739895677e-17, -1.6653345369377348e-16, 1.0, 3.402794415361159e-14], [0.0, 0.0, 0.0, 1.0]]"
31,525,52545,25450,4505,[30 19 45],[ 9 65  0],[29 44  5],[ 19   4 -35],-2.842170943040401e-14,-2.7533531010703882e-14,5.3290705182007514e-14,"[[1.0, -5.2109676505230985e-17, -5.099255950903696e-16, -1.802678311319709e-14], [5.210967650522997e-17, 1.0000000000000002, -2.006948025935664e-15, 6.829056162361373e-15], [5.099255950903697e-16, 1.970645868709653e-15, 0.9999999999999999, 4.316175641262875e-14], [0.0, 0.0, 0.0, 1.0]]"
32,525,52550,25500,5005,[30 65  0],[55 15  5],[ 75  40 -45],[ 65   0 -95],8.881784197001252e-14,1.3988810110276972e-14,9.592326932761353e-14,"[[1.0, -9.488163922100219e-17, 2.2831867699990795e-15, 4.5584780553442664e-14], [9.48816392210026e-17, 1.0000000000000002, 2.155191822269009e-16, 7.84107902520035e-15], [-2.283186769999079e-15, 2.0122792321330962e-16, 1.0000000000000002, 1.3911458903991697e-13], [0.0, 0.0, 0.0, 1.0]]"
33,530,53010,30100,1005,[ 35  30 -50],[ 15  20 -45],[ 40   0 -55],[ 30 -50 -15],2.984279490192421e-13,6.838973831690964e-14,-7.460698725481052e-14,"[[1.0, 2.673388465903074e-15, -6.010517296255679e-15, 3.782972265538499e-13], [-2.673388465903059e-15, 0.9999999999999999, 2.5572209617144144e-15, 7.493115768572229e-14], [6.010517296255685e-15, -2.55351295663786e-15, 1.0, -1.6522867406808005e-13], [0.0, 0.0, 0.0, 1.0]]"
