id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd
71,0550,55040,50400,4005,[ 55  80 -60],[ 45  40 -55],[ 90  30 -95],[ 80 -60 -75]
72,0550,55045,50450,4505,[55 44 -5],[  9  90 -50],[ 54  44 -45],[ 44 -46 -35]
73,0105,10515,5150,15010,[ 15 -14  55],[11 35 15],[ 6 31 50],[-14  41  30]
74,0105,10520,5200,20010,[15  5 10],[ 30 -15  20],[25  0  0],[  5  10 -30]
75,0105,10525,5250,25010,[ 15 -13  65],[12 35 25],[ 7 32 50],[-13  42  10]
76,0105,10530,5300,30010,[15 15 20],[ 40 -15  30],[35 10  0],[ 15  20 -50]
77,0105,10535,5350,35010,[ 15 -12  75],[13 35 35],[ 8 33 50],[-12  43 -10]
78,0105,10540,5400,40010,[15 25 30],[ 50 -15  40],[45 20  0],[ 25  30 -70]
79,0105,10545,5450,45010,[ 15 -11  85],[14 35 45],[ 9 34 50],[-11  44 -30]
80,0105,10550,5500,50010,[15 35 40],[ 60 -15  50],[55 30  0],[ 35  40 -90]
81,01015,10155,1550,5010,[11  0 25],[ 15  -5 -15],[  6 -15  30],[-14 -25  50]
82,01015,101520,15200,20010,[ 25  15 -10],[30 -5  0],[ 35   0 -20],[ 15 -10 -30]
83,01015,101525,15250,25010,[25 -3 45],[12 45  5],[17 32 30],[-3 22 10]
84,01015,101530,15300,30010,[25 25  0],[40 -5 10],[ 45  10 -20],[ 25   0 -50]
85,01015,101535,15350,35010,[25 -2 55],[13 45 15],[18 33 30],[ -2  23 -10]
86,01015,101540,15400,40010,[25 35 10],[50 -5 20],[ 55  20 -20],[ 35  10 -70]
87,01015,101545,15450,45010,[25 -1 65],[14 45 25],[19 34 30],[ -1  24 -30]
88,01015,101550,15500,50010,[25 45 20],[60 -5 30],[ 65  30 -20],[ 45  20 -90]
89,01020,10205,2050,5010,[12  0 15],[ 15   0 -25],[  7 -20  20],[-13 -40  50]
90,01020,102015,20150,15010,[30  1 25],[ 11  50 -15],[21 31 20],[ 1 11 30]
91,01020,102025,20250,25010,[30  2 35],[12 50 -5],[22 32 20],[ 2 12 10]
92,01020,102030,20300,30010,[ 30  30 -10],[40  0  0],[ 50  10 -30],[ 30 -10 -50]
93,01020,102035,20350,35010,[30  3 45],[13 50  5],[23 33 20],[  3  13 -10]
94,01020,102040,20400,40010,[30 40  0],[50  0 10],[ 60  20 -30],[ 40   0 -70]
95,01020,102045,20450,45010,[30  4 55],[14 50 15],[24 34 20],[  4  14 -30]
96,01020,102050,20500,50010,[30 50 10],[60  0 20],[ 70  30 -30],[ 50  10 -90]
97,01025,10255,2550,5010,[12 10  5],[ 15   5 -35],[  7 -15  10],[-13 -45  50]
98,01025,102515,25150,15010,[35  6 15],[ 11  55 -25],[26 31 10],[ 6  1 30]
99,01025,102520,25200,20010,[ 35  25 -30],[ 30   5 -20],[ 45   0 -40],[ 25 -30 -30]
100,01025,102530,25300,30010,[ 35  35 -20],[ 40   5 -10],[ 55  10 -40],[ 35 -20 -50]
101,01025,102535,25350,35010,[35  8 35],[13 55 -5],[28 33 10],[  8   3 -10]
102,01025,102540,25400,40010,[ 35  45 -10],[50  5  0],[ 65  20 -40],[ 45 -10 -70]
103,01025,102545,25450,45010,[35  9 45],[14 55  5],[29 34 10],[  9   4 -30]
104,01025,102550,25500,50010,[35 55  0],[60  5 10],[ 75  30 -40],[ 55   0 -90]
105,01030,10305,3050,5010,[13 10 -5],[ 15  10 -45],[  8 -20   0],[-12 -60  50]
106,01030,103015,30150,15010,[40 11  5],[ 11  60 -35],[31 31  0],[11 -9 30]
107,01030,103020,30200,20010,[ 40  30 -40],[ 30  10 -30],[ 50   0 -50],[ 30 -40 -30]
108,01030,103025,30250,25010,[40 12 15],[ 12  60 -25],[32 32  0],[12 -8 10]
109,01030,103035,30350,35010,[40 13 25],[ 13  60 -15],[33 33  0],[ 13  -7 -10]
110,01030,103040,30400,40010,[ 40  50 -20],[ 50  10 -10],[ 70  20 -50],[ 50 -20 -70]
111,01030,103045,30450,45010,[40 14 35],[14 60 -5],[34 34  0],[ 14  -6 -30]
112,01030,103050,30500,50010,[ 40  60 -10],[60 10  0],[ 80  30 -50],[ 60 -10 -90]
